CustomerID,Age,Gender,Income Level,LoyaltyMember,ZipCode
C00001,41,Female,High,No,41743
C00002,50,Female,High,No,37740
C00003,34,Male,Low,Yes,89404
C00004,28,Male,High,Yes,97852
C00005,69,Female,Medium,Yes,23974
C00006,63,Female,Low,Yes,70553
C00007,54,Female,High,No,90045
C00008,23,Female,High,Yes,62693
C00009,26,Female,High,Yes,7284
C00010,52,Male,High,Yes,21777
C00012,55,Female,High,Yes,24925
C00013,51,Female,Medium,Yes,25238
C00014,63,Female,Medium,Yes,49456
C00015,57,Male,Low,Yes,56655
C00016,62,Female,Medium,No,14951
C00017,69,Female,High,No,69390
C00018,33,Female,Medium,Yes,6474
C00019,52,Male,Medium,Yes,47185
C00020,62,Female,Medium,Yes,28767
C00021,29,Male,Medium,No,10361
C00022,38,Male,Low,Yes,79745
C00023,30,Female,Low,Yes,83169
C00024,60,Female,Medium,Yes,99754
C00026,20,Male,Low,Yes,99869
C00027,30,Male,Medium,No,21449
C00028,65,Female,High,Yes,58913
C00029,33,Male,Low,No,79251
C00030,53,Male,High,Yes,26908
C00031,48,Male,High,No,53618
C00032,45,Female,Low,No,16511
C00033,32,Female,Low,Yes,96373
C00034,21,Male,Low,Yes,72873
C00035,55,Male,Low,No,28710
C00036,21,Female,Low,No,66646
C00037,46,Male,Medium,Yes,26616
C00038,62,Male,Low,No,4362
C00039,20,Male,Medium,No,67834
C00040,51,Male,High,Yes,88983
C00042,61,Male,High,Yes,19004
C00043,30,Female,Medium,No,93990
C00044,54,Female,Low,No,36405
C00045,59,Female,High,Yes,43393
C00046,39,Female,Low,Yes,34074
C00047,49,Female,Low,Yes,95744
C00048,41,Female,Medium,No,44882
C00049,28,Female,High,No,4739
C00050,25,Male,High,No,30792
C00051,36,Male,Medium,Yes,31344
C00052,42,Female,High,No,84686
C00053,46,Male,High,Yes,32765
C00054,49,Male,High,Yes,5412
C00055,66,Female,High,No,85744
C00056,56,Female,High,Yes,93205
C00057,27,Female,High,No,51567
C00058,22,Male,Low,Yes,80005
C00059,53,Female,Low,No,84990
C00060,35,Male,High,No,28885
C00061,44,Male,Medium,Yes,49746
C00062,19,Female,Low,No,4956
C00064,28,Male,Low,Yes,42811
C00067,34,Female,High,No,59784
C00068,23,Female,Medium,No,65917
C00070,45,Male,Low,Yes,62157
C00071,26,Male,Medium,Yes,17138
C00072,64,Female,Low,Yes,6086
C00073,31,Female,Medium,No,1924
C00074,54,Male,Low,Yes,20464
C00075,27,Female,Low,No,15204
C00076,21,Male,Low,No,37886
C00077,50,Male,Medium,No,3223
C00078,56,Female,Low,Yes,30651
C00079,32,Female,High,No,73175
C00080,55,Male,Low,No,80248
C00081,31,Male,Medium,No,74635
C00083,46,Male,Low,Yes,43924
C00084,53,Male,Low,No,25070
C00085,49,Male,High,No,53852
C00086,24,Male,High,Yes,60032
C00088,46,Female,Medium,Yes,56432
C00089,21,Female,Medium,Yes,44008
C00090,53,Male,High,No,24157
C00091,43,Female,Low,Yes,33643
C00092,24,Male,High,Yes,32062
C00093,68,Female,Low,Yes,3696
C00094,56,Male,Medium,Yes,70858
C00095,46,Female,High,No,2764
C00096,59,Female,High,No,94716
C00097,54,Female,Low,Yes,78939
C00098,41,Male,Medium,Yes,57284
C00099,29,Female,Medium,Yes,89174
C00101,55,Male,High,No,54763
C00102,34,Female,Low,Yes,3444
C00103,31,Male,Medium,Yes,38356
C00104,53,Female,Low,Yes,83277
C00106,25,Male,Low,Yes,13645
C00107,43,Male,High,No,24733
C00108,42,Male,Low,Yes,56912
C00109,22,Female,High,No,95817
C00110,28,Male,High,Yes,16182
C00111,34,Female,High,Yes,66666
