CustomerID,TotalSpend,AvgSpend,TransactionCount,AvgQuantity,Age,Gender,IncomeLevel,LoyaltyMember,Segment
C00001,710.62,142.12,5,10.80,41,Female,High,No,0
C00002,314.40,104.80,3,3.67,50,Female,High,No,2
C00003,660.43,110.07,6,2.83,34,Male,Low,Yes,0
C00004,494.29,82.38,6,2.33,28,Male,High,Yes,2
C00005,477.95,79.66,6,2.33,69,Female,Medium,Yes,1
C00006,290.04,96.68,3,3.67,63,Female,Low,Yes,2
C00007,604.17,86.31,7,1.57,54,Female,High,No,0
C00008,506.33,126.58,4,3.00,23,Female,High,Yes,2
C00009,477.34,119.34,4,2.50,26,Female,High,Yes,2
C00010,423.28,84.66,5,2.60,52,Male,High,Yes,2
C00011,570.73,95.12,6,2.83,42,Female,Low,No,0
C00012,313.98,104.66,3,2.67,55,Female,High,Yes,2
C00013,377.07,94.27,4,2.50,51,Female,Medium,Yes,1
C00014,387.29,77.46,5,3.00,63,Female,Medium,Yes,1
C00015,563.96,93.99,6,2.83,57,Male,Low,Yes,0
C00016,722.63,103.23,7,2.00,62,Female,Medium,No,1
C00017,228.39,76.13,3,2.67,69,Female,High,No,2
C00018,418.76,59.82,7,2.86,33,Female,Medium,Yes,1
C00019,679.06,75.45,9,2.67,52,Male,Medium,Yes,1
C00020,563.74,112.75,5,2.80,62,Female,Medium,Yes,1
C00021,136.36,45.45,3,3.00,29,Male,Medium,No,1
C00022,287.30,71.83,4,2.75,38,Male,Low,Yes,2
C00023,462.53,92.51,5,2.40,30,Female,Low,Yes,2
C00024,542.85,108.57,5,3.20,60,Female,Medium,Yes,1
C00025,315.04,78.76,4,2.25,69,Male,Low,Yes,2
C00026,170.32,170.32,1,1.00,20,Male,Low,Yes,2
C00027,307.10,76.78,4,2.00,30,Male,Medium,No,1
C00028,782.67,111.81,7,2.71,65,Female,High,Yes,0
C00029,1346.59,103.58,13,2.31,33,Male,Low,No,0
C00030,622.18,124.44,5,2.00,53,Male,High,Yes,0
C00031,772.69,110.38,7,2.14,48,Male,High,No,0
C00032,385.78,96.45,4,2.75,45,Female,Low,No,2
C00033,587.41,73.43,8,2.63,32,Female,Low,Yes,0
C00035,141.59,70.80,2,3.00,55,Male,Low,No,2
C00036,489.57,81.60,6,1.33,21,Female,Low,No,2
C00037,963.01,120.38,8,1.63,46,Male,Medium,Yes,0
C00038,600.99,100.17,6,2.50,62,Male,Low,No,0
C00039,253.11,126.56,2,3.50,20,Male,Medium,No,1
C00040,712.27,142.45,5,2.00,51,Male,High,Yes,0
C00041,591.87,73.98,8,2.25,39,Female,Low,No,0
C00042,644.51,161.13,4,2.50,61,Male,High,Yes,0
C00043,659.14,109.86,6,2.00,30,Female,Medium,No,1
C00044,856.91,107.11,8,2.38,54,Female,Low,No,0
C00045,262.91,131.46,2,1.50,59,Female,High,Yes,2
C00046,691.60,98.80,7,1.86,39,Female,Low,Yes,0
C00047,685.91,97.99,7,10.00,49,Female,Low,Yes,0
C00048,147.70,49.23,3,1.67,41,Female,Medium,No,1
C00049,991.99,99.20,10,7.90,28,Female,High,No,0
C00050,804.99,115.00,7,2.86,25,Male,High,No,0
C00051,128.24,64.12,2,3.00,36,Male,Medium,Yes,1
C00052,400.18,80.04,5,1.80,42,Female,High,No,2
C00053,618.67,123.73,5,2.80,46,Male,High,Yes,0
C00054,376.15,94.04,4,2.25,49,Male,High,Yes,2
C00055,286.13,71.53,4,2.00,66,Female,High,No,2
C00056,388.01,129.34,3,3.00,56,Female,High,Yes,2
C00057,308.86,102.95,3,2.67,27,Female,High,No,2
C00058,473.95,118.49,4,3.75,22,Male,Low,Yes,2
C00059,584.97,97.50,6,2.67,53,Female,Low,No,0
