CustomerID,Age,Gender,IncomeLevel,LoyaltyMember,ZipCode
C00001,64,Female,Medium,N,81934
C00002,33,Male,,Y,76970
C00003,24,F,Medium,N,01051
C00004,28,female,Low,Y,66802
C00005,37,Female,High,N,84542
C00006,35,Male,Medium,Y,09211
C00007,45,M,Low,N,47079
C00008,38,F,Low,Y,71263
C00009,26,F,High,N,41204
C00010,46,F,,N,90567
C00011,61,male,High,Y,62649
C00012,55,M,,N,61654
C00013,43,Female,High,Y,04206
C00014,57,F,High,N,54176
C00015,18,F,Medium,N,60697
C00016,31,Female,Medium,Y,81660
C00017,24,male,High,N,10303
C00018,39,female,Medium,Y,75676
C00019,34,Male,High,N,67423
C00020,22,M,Low,Y,39893
C00021,38,Female,High,Y,05133
C00022,34,M,Medium,Y,86720
C00023,52,Female,High,Y,77142
C00024,18,M,Low,Y,32373
C00025,37,M,High,N,14546
C00026,47,Male,High,N,17891
C00027,47,M,High,Y,72914
C00028,28,M,Low,N,57637
C00029,20,Male,High,N,49718
C00030,67,Male,Low,N,72786
C00031,53,M,High,N,17627
C00032,58,female,,N,41667
C00033,19,female,Low,Y,63453
C00034,58,F,Medium,Y,97545
C00035,59,female,Medium,N,57337
C00036,33,male,Medium,N,71000
C00037,43,M,Medium,Y,66847
C00038,29,Male,High,N,13405
C00039,39,F,High,Y,84650
C00040,56,Female,Medium,Y,34187
C00041,58,Female,High,Y,24214
C00042,20,Male,Low,Y,16929
C00043,42,Female,Medium,Y,04566
C00044,48,Female,High,Y,20833
C00045,44,Female,Medium,Y,82411
C00046,65,female,,Y,19896
C00047,58,Female,High,Y,99879
C00048,55,Male,Medium,Y,36269
C00049,34,Female,High,Y,50406
C00050,57,female,Low,N,65708
C00051,61,male,High,N,68886
C00052,30,Male,,Y,96143
C00053,62,male,Medium,N,54865
C00054,67,female,High,Y,37985
C00055,61,F,Low,Y,73164
C00056,22,Female,Medium,Y,54422
C00057,67,Female,High,Y,66639
C00058,29,M,Medium,Y,55640
C00059,32,Female,Medium,Y,33038
C00060,47,Female,Low,Y,13287
C00061,53,F,,N,40974
C00062,36,F,High,N,93286
C00063,55,M,High,N,14693
C00064,63,Female,High,N,59287
C00065,65,Male,Medium,Y,46833
C00066,42,Female,Low,Y,21821
C00067,64,M,Medium,N,48832
C00068,51,Male,Low,Y,71169
C00069,31,Female,Medium,Y,60310
C00070,18,F,Low,Y,54620
C00071,20,Male,High,N,42082
C00072,65,M,Medium,Y,31768
C00073,42,Male,Medium,Y,57231
C00074,49,male,Low,Y,80899
C00075,28,F,Medium,Y,76476
C00076,21,F,Medium,N,42685
C00077,67,M,Low,N,44634
C00078,28,male,Medium,Y,89084
C00079,45,female,,Y,16205
C00080,62,Male,Medium,Y,74554
C00081,67,Female,Low,Y,29486
C00082,40,Male,,N,16413
C00083,25,F,Medium,Y,29489
C00084,36,Male,High,N,06386
C00085,23,Male,Low,Y,65694
C00086,53,Female,Medium,Y,95907
C00087,54,female,Low,N,33532
C00088,21,Male,Low,Y,71586
C00089,25,Male,,Y,55664
C00090,50,M,High,N,14728
C00091,36,Female,High,Y,24135
C00092,57,M,Medium,N,30677
C00093,55,Male,Low,N,92437
C00094,35,M,High,N,53877
C00095,31,Male,Low,Y,35108
C00096,60,Male,High,N,91510
C00097,33,Female,Low,N,92230
C00098,47,Female,Medium,Y,33610
C00099,27,male,Medium,N,21854
C00100,47,F,High,N,66154
C00101,51,M,High,Y,37390
C00102,39,M,Medium,Y,01374
C00103,57,male,Medium,N,12312
C00104,68,M,Medium,Y,86987
C00105,61,F,Low,N,39836
C00106,64,male,Medium,N,75676
C00107,52,F,Low,Y,21375
C00108,47,F,High,N,93084
