CustomerID,TransactionID,Date,StoreID,ProductCategory,AmountSpent,Quantity,DiscountApplied
C06301,T100000,01/14/2025,S035,Toys,130.68,3,10
C07526,T100001,2024-09-25,S050,Clothing,101.76,4,0
C00440,T100002,2024-10-07,S027,Clothing,107.02,3,0
C03666,T100003,12/06/2023,S010,Clothing,54.13,2,15
C09055,T100004,05/25/2025,S039,Electronics,,3,10
C04663,T100005,07/28/2024,S004,Beauty,63.92,3,15
C02559,T100006,2024-07-03,S041,Home,16.77,3,5
C06902,T100007,11/03/2024,S001,Clothing,55.22,1,10
C09190,T100008,06/30/2024,S035,Clothing,165.87,4,5
C07399,T100009,2025-02-20,S025,Beauty,136.07,3,15
C00358,T100010,2024-04-21,S003,Home,5.0,2,0
C05994,T100011,2024-03-09,S036,Clothing,150.27,2,10
C08346,T100012,2024-02-26,S025,Toys,78.2,4,10
C09294,T100013,2024-11-07,S021,Clothing,107.55,1,15
C08596,T100014,02/27/2025,S002,Clothing,,3,20
C06303,T100015,2023-08-21,S045,Home,47.42,3,15
C07391,T100016,2024-06-19,S010,Toys,74.92,4,20
C00080,T100017,08/29/2024,S015,Electronics,47.08,2,0
C08655,T100018,04/03/2024,S046,Beauty,120.57,2,0
C00588,T100019,04/13/2025,S004,Electronics,81.93,3,5
C05394,T100020,02/15/2024,S035,Beauty,22.97,2,15
C04551,T100021,2024-06-13,S025,Beauty,111.87,2,20
C05100,T100022,04/03/2025,S030,Home,51.53,2,10
C01320,T100023,09/02/2024,S010,Beauty,36.19,1,20
C09452,T100024,2023-09-30,S010,Toys,123.76,2,10
C03710,T100025,10/19/2024,S017,Home,66.69,3,15
C02939,T100026,12/16/2023,S039,Electronics,5.0,3,0
C04104,T100027,2025-03-27,S031,Home,47.98,3,10
C06075,T100028,12/01/2023,S039,Toys,118.14,4,0
C07162,T100029,12/30/2023,S017,Home,104.32,4,20
C00596,T100030,12/20/2024,S048,Toys,120.01,2,10
C04210,T100031,2023-12-18,S044,Electronics,83.21,2,5
C07758,T100032,03/26/2025,S035,Clothing,24.55,2,15
C07814,T100033,03/13/2024,S016,Home,178.31,4,5
C01431,T100034,10/16/2024,S038,Electronics,168.56,2,10
C01883,T100035,2023-06-27,S020,Electronics,105.63,2,5
C04174,T100036,01/23/2024,S040,Home,17.45,3,10
C08566,T100037,08/01/2024,S015,Beauty,38.92,1,5
C04841,T100038,2024-10-01,S042,Beauty,80.59,3,10
C03533,T100039,08/23/2024,S025,Home,61.43,2,5
C08137,T100040,05/24/2024,S039,Electronics,145.27,2,5
C02827,T100041,2024-10-02,S001,Toys,5.0,4,5
C09857,T100042,2024-06-06,S048,Toys,21.59,1,0
C00561,T100043,03/15/2025,S027,Clothing,166.5,2,20
C01705,T100044,2025-05-29,S048,Toys,52.84,2,15
C02746,T100045,2024-11-03,S009,Electronics,148.15,4,15
C00117,T100046,10/28/2024,S028,Beauty,167.68,3,0
C09699,T100047,2024-04-13,S008,Beauty,98.47,1,5
C07691,T100048,2024-06-19,S021,Home,110.37,3,15
C09046,T100049,11/20/2024,S029,Clothing,151.43,1,0
C00257,T100050,01/30/2025,S033,Toys,25.79,3,10
C01594,T100051,07/18/2024,S004,Toys,146.9,3,5
C08067,T100052,01/23/2025,S006,Beauty,,2,0
C05333,T100053,2023-12-12,S045,Beauty,140.74,1,5
C01023,T100054,2023-12-25,S032,Clothing,36.47,1,5
C00820,T100055,2024-07-23,S029,Home,78.78,4,15
C02687,T100056,2023-11-17,S032,Toys,,2,5
C00079,T100057,10/29/2023,S035,Home,58.27,3,15
C04653,T100058,2024-12-12,S009,Home,131.39,4,20
C00095,T100059,05/23/2025,S033,Toys,99.43,3,0
C04833,T100060,2024-04-20,S044,Beauty,143.23,1,0
C09405,T100061,2024-05-31,S048,Toys,77.32,4,10
C06161,T100062,02/25/2024,S042,Toys,125.07,3,20
C03045,T100063,2024-10-11,S013,Toys,68.4,2,20
C09157,T100064,2023-06-10,S043,Clothing,48.01,2,15
C08519,T100065,09/29/2023,S045,Home,116.08,1,0
C00078,T100066,09/30/2023,S026,Electronics,107.1,2,15
C02651,T100067,2023-08-11,S032,Beauty,146.89,1,5
C01011,T100068,2025-02-13,S021,Toys,171.49,3,10
C07390,T100069,2024-08-22,S010,Beauty,188.04,1,5
C06897,T100070,2023-11-12,S042,Electronics,71.8,2,20
C00341,T100071,2024-01-16,S018,Toys,83.35,1,20
C01785,T100072,04/14/2025,S004,Home,123.19,4,10
C03372,T100073,2023-07-15,S050,Toys,109.49,3,15
C07719,T100074,2024-03-06,S006,Toys,94.59,3,0
C04533,T100075,2023-12-09,S002,Toys,113.67,4,5
C04982,T100076,10/10/2023,S048,Electronics,100.5,1,0
C07772,T100077,2024-06-16,S036,Electronics,71.48,4,5
C04613,T100078,09/27/2024,S006,Home,62.6,3,5
C00832,T100079,2023-08-21,S017,Toys,120.05,2,20
C00220,T100080,2023-11-17,S023,Electronics,65.3,1,20
C09863,T100081,09/04/2023,S034,Toys,97.84,3,5
C04322,T100082,2023-10-21,S014,Electronics,77.09,3,20
C00721,T100083,2025-01-21,S013,Toys,83.14,2,0
C04405,T100084,2024-08-09,S004,Beauty,87.91,4,10
C01494,T100085,09/30/2023,S048,Toys,110.55,4,10
C00173,T100086,11/18/2023,S034,Toys,37.49,1,20
C03644,T100087,2023-09-13,S032,Toys,93.55,1,10
C09952,T100088,2023-06-29,S013,Toys,139.58,4,5
C04212,T100089,03/16/2024,S025,Electronics,115.43,2,15
C04713,T100090,2024-12-28,S023,Clothing,123.27,1,5
C01825,T100091,2024-11-21,S030,Beauty,46.29,2,10
C09840,T100092,2024-03-15,S020,Home,108.51,3,20
C00102,T100093,06/09/2024,S047,Electronics,12.35,1,10
C02962,T100094,2023-09-10,S004,Home,146.64,4,0
C03077,T100095,2024-10-25,S005,Clothing,142.74,1,15
C04391,T100096,2023-06-23,S033,Toys,116.53,4,10
C03923,T100097,10/03/2023,S034,Home,140.74,3,0
C05496,T100098,07/08/2024,S007,Beauty,,1,15
C09843,T100099,12/11/2023,S002,Home,9.51,4,15
C05278,T100100,12/18/2023,S018,Home,65.77,2,15
C09600,T100101,2023-12-30,S029,Home,108.27,1,15
C05546,T100102,09/06/2024,S046,Clothing,63.92,1,10
C00261,T100103,10/31/2024,S048,Toys,147.78,4,20
C07374,T100104,05/15/2025,S004,Home,114.16,1,20
C00980,T100105,08/16/2024,S033,Beauty,181.13,3,0
C03428,T100106,2023-07-04,S013,Beauty,196.41,4,20
C05574,T100107,03/26/2024,S004,Toys,74.01,4,5
C00805,T100108,2023-10-27,S018,Beauty,77.26,4,20
C01932,T100109,02/03/2025,S038,Home,78.0,4,0
C06644,T100110,2024-07-23,S024,Home,184.96,3,5
