CustomerID,TotalSpend,AvgSpend,TransactionCount,AvgQuantity,Age,Gender,IncomeLevel,LoyaltyMember,Segment
C00001,710.62,142.124,5,10.8,41,Female,High,N,0
C00002,314.4,104.8,3,3.6666666666666665,50,Female,High,N,2
C00003,660.43,110.07166666666666,6,2.8333333333333335,34,Male,Low,Y,0
C00004,494.28999999999996,82.38166666666666,6,2.3333333333333335,28,Male,High,Y,2
C00005,477.95,79.65833333333333,6,2.3333333333333335,69,Female,Medium,Y,1
C00006,290.04,96.68,3,3.6666666666666665,63,Female,Low,Y,2
C00007,604.1700000000001,86.31000000000002,7,1.5714285714285714,54,Female,High,N,0
C00008,506.33,126.5825,4,3.0,23,Female,High,Y,2
C00009,477.34000000000003,119.33500000000001,4,2.5,26,Female,High,Y,2
C00010,423.28,84.65599999999999,5,2.6,52,Male,High,Y,2
C00011,570.73,95.12166666666667,6,2.8333333333333335,42,Female,Low,N,0
C00012,313.98,104.66000000000001,3,2.6666666666666665,55,Female,High,Y,2
C00013,377.07,94.2675,4,2.5,51,Female,Medium,Y,1
C00014,387.29,77.458,5,3.0,63,Female,Medium,Y,1
C00015,563.96,93.99333333333334,6,2.8333333333333335,57,Male,Low,Y,0
C00016,722.63,103.23285714285714,7,2.0,62,Female,Medium,N,1
C00017,228.39,76.13,3,2.6666666666666665,69,Female,High,N,2
C00018,418.76,59.82285714285714,7,2.857142857142857,33,Female,Medium,Y,1
C00019,679.06,75.4511111111111,9,2.6666666666666665,52,Male,Medium,Y,1
C00020,563.74,112.748,5,2.8,62,Female,Medium,Y,1
C00021,136.36,45.45333333333334,3,3.0,29,Male,Medium,N,1
C00022,287.3,71.825,4,2.75,38,Male,Low,Y,2
C00023,462.53,92.506,5,2.4,30,Female,Low,Y,2
C00024,542.85,108.57000000000001,5,3.2,60,Female,Medium,Y,1
C00025,315.04,78.76,4,2.25,69,Male,Low,Y,2
C00026,170.32,170.32,1,1.0,20,Male,Low,Y,2
C00027,307.1,76.775,4,2.0,30,Male,Medium,N,1
C00028,782.67,111.80999999999999,7,2.7142857142857144,65,Female,High,Y,0
C00029,1346.59,103.58384615384615,13,2.3076923076923075,33,Male,Low,N,0
C00030,622.1800000000001,124.436,5,2.0,53,Male,High,Y,0
C00031,772.69,110.38428571428572,7,2.142857142857143,48,Male,High,N,0
C00032,385.78,96.445,4,2.75,45,Female,Low,N,2
C00033,587.41,73.42625,8,2.625,32,Female,Low,Y,0
C00035,141.59,70.795,2,3.0,55,Male,Low,N,2
C00036,489.57,81.595,6,1.3333333333333333,21,Female,Low,N,2
C00037,963.01,120.37625,8,1.625,46,Male,Medium,Y,0
C00038,600.99,100.165,6,2.5,62,Male,Low,N,0
