MachineID,Date,Failure,RepairType,DowntimeHours
M084,2025-01-07,Y,Minor,5.34
M038,2025-01-04,Y,Minor,3.13
M016,02/03/2025,N,Minor,6.07
M069,2025-05-31,N,Major,0.79
M080,2025-02-25,N,Minor,0.52
M068,12/05/2025,N,Minor,4.27
M095,20/04/2025,Y,Major,2.14
M077,2025-06-02,Y,Minor,2.3
M015,2025-03-25,Y,Major,9.22
M100,2025-05-21,N,Major,1.66
M052,2025-01-06,Y,Minor,2.77
M049,2025-01-05,Y,Major,3.28
M072,2025-02-19,N,Minor,2.87
M099,20/01/2025,N,Major,11.98
M089,2025-06-24,Y,Minor,1.69
M092,2025-04-18,N,Major,0.24
M092,04/05/2025,N,Major,1.54
M078,2025-03-10,N,Minor,4.02
M059,21/06/2025,Y,Minor,9.68
M005,26/04/2025,N,Major,20.17
M093,2025-04-06,N,Minor,2.58
M013,2025-06-28,Y,Minor,4.08
M007,2025-03-09,N,Major,2.58
M034,2025-03-31,Y,Major,0.51
M056,2025-03-31,N,Major,3.62
M043,2025-04-01,Y,,5.99
M006,2025-04-10,Y,Minor,1.04
M059,2025-02-01,N,Minor,2.88
M001,2025-03-06,N,Major,1.19
M071,09/04/2025,N,Major,1.56
M020,15/06/2025,N,Major,0.76
M026,2025-06-04,N,Minor,2.91
M012,2025-04-02,N,Minor,8.51
M095,2025-04-11,N,Minor,10.21
M088,2025-04-25,N,Minor,7.29
M067,2025-06-28,Y,Major,0.75
M076,2025-03-01,Y,Major,10.03
M006,28/04/2025,Y,Minor,2.11
M100,25/03/2025,N,Major,1.83
M037,26/06/2025,Y,Minor,0.44
M040,2025-06-11,N,Minor,0.16
M076,15/01/2025,N,Minor,4.16
M066,02/04/2025,N,Minor,1.96
M054,2025-02-20,N,Major,3.55
M090,27/02/2025,Y,Major,1.56
M015,13/02/2025,Y,Minor,2.76
M002,2025-02-21,N,Major,0.17
M076,27/04/2025,N,Major,3.75
M082,2025-05-15,N,Minor,13.41
M073,2025-03-20,N,Major,2.37
M059,2025-04-04,N,Minor,2.56
M015,02/02/2025,N,Major,1.82
M019,14/01/2025,Y,Minor,7.05
M077,2025-04-04,Y,Minor,1.23
M009,2025-06-17,N,Major,6.14
M013,2025-05-10,N,Major,13.23
M050,2025-02-02,Y,Minor,11.04
M084,2025-05-10,Y,Minor,2.61
M045,2025-01-31,N,Major,1.09
M085,2025-03-22,N,Major,0.08
M015,2025-03-27,Y,Major,2.41
M017,2025-06-02,N,Minor,0.79
M044,04/01/2025,N,Major,2.25
M069,2025-04-27,N,Major,7.05
M025,2025-02-18,N,Major,13.8
M096,2025-01-17,N,Minor,2.43
M089,2025-04-03,N,Minor,5.78
M013,2025-04-22,N,Minor,7.3
M096,2025-06-12,Y,,0.57
M010,2025-04-05,Y,Major,7.18
M008,2025-04-24,N,Major,1.61
M082,19/06/2025,N,Minor,3.4
M093,2025-06-06,N,Minor,1.42
M041,2025-06-11,N,Minor,7.54
M071,2025-06-24,Y,Minor,4.52
M029,2025-05-22,Y,Major,14.94
M004,06/05/2025,Y,Minor,4.24
M048,2025-03-24,N,Minor,1.7
M006,2025-03-26,Y,Minor,1.54
M056,2025-06-18,N,Minor,0.02
M074,19/05/2025,N,Major,6.11
M088,2025-02-02,Y,,24.53
M057,2025-03-11,N,Minor,5.5
M028,2025-01-15,N,Major,2.74
M012,2025-04-19,N,Major,15.83
M024,31/05/2025,N,Major,1.4
M036,04/01/2025,Y,Minor,1.75
M027,2025-04-15,N,Major,5.29
M040,2025-06-05,N,Minor,6.72
M066,29/05/2025,N,Major,1.84
M059,26/04/2025,Y,Minor,5.25
M079,2025-01-09,N,Minor,1.12
M018,2025-02-17,N,Major,5.79
M047,2025-06-28,N,Minor,1.63
M054,2025-01-09,N,Minor,3.38
M016,28/02/2025,N,Major,2.36
M074,2025-06-29,Y,Major,1.11
M081,2025-05-07,N,Minor,11.68
M097,2025-03-18,N,Minor,16.14
M005,2025-03-12,Y,,4.95
M062,13/03/2025,N,Major,2.16
M045,30/05/2025,N,Major,6.13
M013,2025-04-05,N,,0.93
M012,2025-06-21,N,Minor,16.15
M016,2025-01-07,N,Major,9.73
M003,2025-01-19,N,Major,1.86
M083,02/02/2025,N,Minor,3.82
M037,2025-02-21,N,Major,3.14
M041,2025-03-19,N,Major,3.97
M081,19/06/2025,N,Major,4.03
M093,2025-03-08,N,,12.99
M053,2025-06-06,N,Major,4.61
M069,2025-03-05,N,Minor,21.98
M007,2025-06-18,N,Major,9.14
M023,2025-04-04,N,Major,1.23
M080,22/05/2025,N,Minor,2.2
M032,2025-01-27,Y,,1.22
M008,2025-05-02,N,Major,1.22
M056,2025-02-21,N,Major,0.49
M033,2025-06-22,N,Minor,2.9
M085,2025-01-24,N,Minor,1.97
M088,2025-05-29,N,Minor,8.14
M048,2025-02-24,Y,Major,0.93
M036,03/05/2025,Y,Minor,13.51
M100,2025-06-16,N,Major,4.8
M083,2025-04-15,Y,Major,12.15
M024,2025-05-21,N,Minor,7.91
M027,2025-03-23,Y,,4.51
M068,2025-04-17,N,Minor,3.36
M079,2025-03-24,N,Minor,7.13
M042,2025-04-26,N,Major,2.85
M081,2025-05-04,N,Minor,5.24
M054,2025-03-09,N,Major,1.99
M050,30/05/2025,Y,Major,2.51
M076,2025-06-01,Y,Minor,2.62
M010,2025-04-22,Y,Minor,9.35
M063,2025-03-23,N,Major,1.41
M059,2025-04-11,N,Major,4.02
M063,2025-03-02,N,Minor,0.62
M086,19/05/2025,Y,,3.06
M066,18/05/2025,N,Major,4.69
M092,2025-04-30,N,Major,0.3
M030,2025-06-08,N,Major,24.55
M063,2025-05-11,N,Minor,4.42
M014,2025-04-13,Y,Major,5.76
M027,25/02/2025,N,Minor,5.65
M034,2025-05-22,N,Minor,11.98
M075,21/02/2025,N,Major,1.16
M048,2025-04-09,N,Major,4.23
M044,04/03/2025,N,,0.25
M016,2025-04-29,Y,Major,0.41
M015,07/03/2025,Y,Minor,16.04
M057,2025-04-18,Y,,4.58
M061,2025-01-15,N,Major,8.36
M089,2025-02-16,N,Major,0.11
M063,2025-05-15,Y,Major,6.67
M036,2025-01-11,Y,Minor,0.24
M055,04/04/2025,N,Minor,3.97
M071,04/04/2025,Y,Minor,3.39
M092,2025-04-06,Y,Major,0.79
M066,18/04/2025,N,Minor,0.35
M069,2025-06-28,N,Major,5.84
M072,2025-05-24,N,Major,1.75
M017,08/02/2025,N,Minor,0.42
M015,2025-06-20,Y,Major,1.82
M007,2025-01-09,Y,Minor,1.57
M061,2025-05-30,N,Major,2.89
M032,2025-04-13,N,Minor,10.86
M077,2025-01-21,N,Major,0.75
M030,2025-04-19,N,Minor,6.0
M074,2025-04-08,N,Major,0.22
M046,2025-06-04,N,Major,8.35
