CustomerID,Industry,CompanySize,ChurnStatus
C1000,Finance,M,N
C1001,Healthcare,L,N
C1002,Finance,Small,N
C1003,Healthcare,s,Y
C1004,Finance,s,N
C1005,Healthcare,SM,Y
C1006,Technology,Small,N
C1007,Technology,L,N
C1008,Manufacturing,Large,N
C1009,Technology,Small,Y
C1010,Manufacturing,Large,N
C1011,,Medium,N
C1012,Healthcare,M,N
C1013,Technology,large,N
C1014,Finance,s,N
C1015,Manufacturing,Medium,N
C1016,Healthcare,L,Y
C1017,Healthcare,Large,N
C1018,Healthcare,Med,N
C1019,Healthcare,s,N
C1020,Manufacturing,s,N
C1021,Retail,Small,N
C1022,Manufacturing,Medium,Y
C1023,Healthcare,large,N
C1024,Finance,Small,Y
C1025,Healthcare,Medium,N
C1026,Finance,L,Y
C1027,Retail,large,N
C1028,,Small,N
C1029,Retail,Large,N
C1030,Healthcare,large,N
C1031,Finance,Small,N
C1032,Technology,M,N
C1033,Technology,large,N
C1034,Finance,large,Y
C1035,Retail,L,N
C1036,Retail,Small,N
C1037,Technology,Small,N
C1038,Technology,M,N
C1039,Technology,Small,N
C1040,Manufacturing,s,N
C1041,Technology,large,N
C1042,Technology,Medium,N
C1043,Manufacturing,large,N
C1044,Technology,large,N
C1045,Healthcare,Medium,N
C1046,Technology,large,N
C1047,Healthcare,Med,N
C1048,Education,M,N
C1049,Education,s,N
C1050,Manufacturing,s,N
C1051,Manufacturing,L,N
C1052,Healthcare,Large,N
C1053,Finance,Med,Y
C1054,Finance,Large,Y
C1055,Technology,M,Y
C1056,Finance,Small,Y
C1057,Manufacturing,Small,N
C1058,Healthcare,Med,N
C1059,Healthcare,Med,N
C1060,Manufacturing,M,N
C1061,Healthcare,s,N
C1062,Retail,M,N
C1063,Technology,M,N
C1064,Manufacturing,s,N
C1065,Manufacturing,L,N
C1066,Manufacturing,Small,Y
C1067,Retail,Med,N
C1068,,Medium,Y
C1069,Retail,Large,N
C1070,Education,Medium,N
C1071,Retail,SM,Y
C1072,Manufacturing,Small,Y
C1073,Education,large,Y
C1074,Finance,L,N
C1075,Education,M,Y
C1076,Manufacturing,Small,N
C1077,Healthcare,Med,Y
C1078,Manufacturing,Small,N
C1079,Technology,s,Y
C1080,Technology,L,Y
C1081,Technology,Med,N
C1082,Finance,SM,N
C1083,Technology,SM,N
C1084,Technology,s,N
C1085,Finance,Small,Y
C1086,Finance,Large,N
C1087,,Med,N
C1088,Technology,SM,N
C1089,Technology,Small,Y
C1090,Healthcare,M,N
C1091,Healthcare,L,Y
C1092,Finance,Large,N
C1093,Technology,M,N
C1094,Manufacturing,Large,N
C1095,,Medium,N
C1096,Technology,M,N
C1097,Manufacturing,large,N
C1098,Education,large,N
C1099,Technology,M,N
C1100,Technology,s,Y
C1101,Technology,Med,N
C1102,Finance,Medium,N
C1103,Finance,large,N
C1104,Technology,Large,N
C1105,,s,N
C1106,,M,N
C1107,,Med,N
C1108,Retail,SM,N
C1109,Healthcare,SM,N
C1110,Technology,Med,N
C1111,Technology,large,N
C1112,Manufacturing,M,N
C1113,Technology,s,N
C1114,Finance,SM,N
C1115,Finance,large,N
C1116,,M,N
C1117,Retail,s,N
C1118,Retail,Small,N
C1119,Manufacturing,L,N
C1120,Manufacturing,large,N
C1121,Technology,Med,N
C1122,Healthcare,Large,N
C1123,Healthcare,Large,Y
C1124,Finance,Large,N
C1125,Manufacturing,Large,N
C1126,Finance,large,N
C1127,Healthcare,large,N
C1128,,SM,N
C1129,Manufacturing,s,N
C1130,Technology,s,N
C1131,Finance,Med,Y
C1132,Healthcare,M,N
C1133,Finance,Med,N
C1134,Healthcare,SM,N
C1135,Education,Large,N
C1136,Education,s,Y
C1137,Technology,Medium,N
C1138,Education,L,Y
C1139,Finance,SM,N
C1140,Finance,L,N
C1141,Retail,Medium,N
C1142,,M,N
C1143,Technology,Large,N
C1144,Finance,Med,N
C1145,Finance,SM,Y
C1146,Healthcare,Medium,N
C1147,Manufacturing,L,N
C1148,Healthcare,L,N
C1149,Finance,M,N
C1150,Healthcare,large,N
C1151,Healthcare,L,N
C1152,Healthcare,M,N
C1153,Finance,s,N
C1154,,L,N
C1155,Manufacturing,large,N
C1156,Retail,large,N
C1157,Finance,Medium,Y
C1158,Retail,L,N
C1159,Technology,large,N
C1160,,Medium,Y
C1161,Finance,Medium,N
C1162,Technology,Medium,N
C1163,Finance,Medium,N
C1164,Healthcare,Large,N
C1165,Technology,large,N
C1166,,Med,N
C1167,Finance,Large,N
C1168,Manufacturing,M,N
C1169,Healthcare,SM,N
C1170,Healthcare,Medium,N
C1171,Technology,Small,Y
C1172,Finance,SM,N
C1173,Technology,L,N
C1174,Finance,Medium,N
C1175,Finance,Large,N
C1176,Manufacturing,large,Y
C1177,Finance,Large,N
C1178,Manufacturing,s,N
C1179,Healthcare,Large,N
C1180,Healthcare,Large,N
C1181,Retail,M,N
C1182,Technology,Large,N
C1183,Retail,SM,N
C1184,Manufacturing,SM,N
C1185,Finance,M,N
C1186,Retail,s,Y
C1187,Education,large,N
C1188,Manufacturing,L,N
C1189,Healthcare,M,Y
C1190,Retail,SM,Y
C1191,Finance,Med,Y
C1192,Healthcare,Med,Y
C1193,Healthcare,Medium,Y
C1194,Healthcare,L,N
C1195,,Small,N
C1196,Retail,large,Y
C1197,Manufacturing,Medium,Y
C1198,,large,N
C1199,Finance,SM,N
C1200,Finance,L,N
C1201,Healthcare,L,N
C1202,,large,Y
C1203,,Large,N
C1204,Healthcare,Medium,N
C1205,,M,N
C1206,Technology,large,N
C1207,Healthcare,s,N
C1208,Retail,Small,Y
C1209,Education,Large,Y
C1210,Finance,large,Y
C1211,Finance,Med,N
C1212,Technology,Medium,N
C1213,Technology,Med,Y
C1214,Healthcare,L,Y
C1215,Healthcare,s,N
C1216,Finance,s,N
C1217,Manufacturing,large,N
C1218,Finance,s,N
C1219,Technology,Med,Y
C1220,Healthcare,Medium,N
C1221,Education,large,N
C1222,Finance,s,N
C1223,Technology,s,N
C1224,Education,Small,N
C1225,Technology,Large,N
C1226,,M,N
C1227,Healthcare,Large,N
C1228,Finance,s,N
C1229,Healthcare,large,N
C1230,Manufacturing,Medium,N
C1231,,M,N
C1232,Healthcare,M,N
C1233,Technology,M,N
C1234,Finance,Medium,Y
C1235,Healthcare,large,N
C1236,Finance,SM,Y
C1237,Manufacturing,Medium,Y
C1238,,Small,Y
C1239,,Large,Y
C1240,Manufacturing,large,Y
C1241,Education,Med,Y
C1242,Manufacturing,s,N
C1243,Manufacturing,Med,N
C1244,Education,Medium,N
C1245,Finance,M,Y
C1246,Education,large,N
C1247,Retail,Med,N
C1248,Healthcare,Med,N
C1249,Manufacturing,large,N
C1250,Education,Med,N
C1251,Manufacturing,Med,Y
C1252,Technology,s,Y
C1253,Finance,large,Y
C1254,Manufacturing,s,N
C1255,Manufacturing,Large,N
C1256,Finance,M,N
C1257,Healthcare,L,N
C1258,Technology,Small,N
C1259,Finance,Large,N
C1260,Technology,M,Y
C1261,Finance,Large,N
C1262,Finance,L,Y
C1263,Technology,Med,N
C1264,,large,N
C1265,Healthcare,Small,Y
C1266,Technology,s,Y
C1267,Technology,M,Y
C1268,Finance,Med,N
C1269,,Med,N
C1270,Manufacturing,SM,N
C1271,Healthcare,Small,N
C1272,Finance,Small,N
C1273,Manufacturing,Small,N
C1274,,Large,N
C1275,Manufacturing,SM,N
C1276,Finance,SM,N
C1277,Healthcare,Med,N
C1278,,SM,N
C1279,Manufacturing,Med,N
C1280,,Med,N
C1281,Manufacturing,Large,N
C1282,Technology,large,Y
C1283,Healthcare,SM,N
C1284,,Small,N
C1285,Finance,large,N
C1286,Education,L,N
C1287,Technology,Small,N
C1288,Technology,Large,N
C1289,Healthcare,Med,N
C1290,Finance,M,Y
C1291,Technology,s,N
C1292,,L,N
C1293,Healthcare,Medium,Y
C1294,Retail,s,N
C1295,Finance,Medium,N
C1296,Healthcare,large,Y
C1297,Finance,SM,N
C1298,Healthcare,L,N
C1299,Technology,SM,N
C1300,Manufacturing,s,Y
C1301,Manufacturing,Medium,Y
C1302,Manufacturing,SM,N
C1303,Healthcare,M,N
C1304,Healthcare,Medium,Y
C1305,Manufacturing,Small,Y
C1306,Manufacturing,Medium,N
C1307,Retail,Medium,N
C1308,Manufacturing,large,Y
C1309,Retail,Large,N
C1310,Finance,M,N
C1311,Finance,SM,N
C1312,Healthcare,Medium,N
C1313,Healthcare,Medium,Y
C1314,Technology,Medium,Y
C1315,Healthcare,SM,N
C1316,Finance,L,N
C1317,Technology,Large,N
C1318,,large,N
C1319,,SM,N
C1320,,Medium,N
C1321,Finance,Large,N
C1322,Retail,SM,N
C1323,Healthcare,s,Y
C1324,Retail,Med,N
C1325,Finance,M,N
C1326,Retail,Small,N
C1327,Technology,Small,N
C1328,Finance,large,N
C1329,,M,N
C1330,Education,Small,Y
C1331,Technology,SM,N
C1332,Healthcare,large,N
C1333,Manufacturing,Medium,N
C1334,Finance,s,N
C1335,Technology,Medium,Y
C1336,,Med,N
C1337,Healthcare,Small,N
C1338,Manufacturing,large,N
C1339,Education,Large,N
C1340,Finance,large,Y
C1341,Healthcare,s,Y
C1342,,L,N
C1343,Retail,Medium,N
C1344,Finance,s,Y
C1345,Manufacturing,Small,N
C1346,Manufacturing,Large,N
C1347,Technology,SM,N
C1348,Healthcare,Med,N
C1349,Healthcare,M,N
C1350,Education,Large,N
C1351,Healthcare,large,N
C1352,Manufacturing,L,N
C1353,Technology,Med,N
C1354,Manufacturing,Small,N
C1355,,Med,N
C1356,Manufacturing,Large,N
C1357,Healthcare,SM,N
C1358,Retail,M,N
C1359,Retail,Large,N
C1360,Healthcare,Small,N
C1361,Retail,L,N
C1362,Healthcare,SM,N
C1363,Manufacturing,Large,N
C1364,,large,N
C1365,Finance,SM,N
C1366,Finance,M,N
C1367,Technology,M,N
C1368,Finance,Large,N
