SaleID,Date,CustomerID,ProductTier,Region,Revenue,ContractLength
S00001,06/12/2024,C4186,Basic,NE,532.07,36
S00002,01/29/2024,C5593,Enterprise,West,26650.65,12
S00003,01/07/2024,C3691,Pro,South,2843.36,36
S00004,03/11/2024,C2451,Pro,NW,3767.7,6
S00005,03/03/2024,C5465,Basic,NE,610.94,24
S00006,02/27/2024,C2640,Basic,SW,519.7,
S00007,02/05/2024,C1116,Basic,NW,636.23,36
S00008,01/27/2024,C4518,Enterprise,East,12323.66,12
S00009,06/22/2024,C1652,Pro,NE,3690.0,6
S00010,05/19/2024,C3693,Pro,North,2168.51,36
S00011,01/23/2024,C3011,Basic,SE,373.62,6
S00012,05/31/2024,C4931,Enterprise,East,15196.78,12
S00013,04/18/2024,C1169,Enterprise,MidWest,14356.32,12
S00014,01/09/2024,C1814,Basic,West,389.25,
S00015,01/08/2024,C2063,Basic,North,576.5,12
S00016,01/24/2024,C3115,Basic,North,656.15,12
S00017,02/25/2024,C2384,Basic,NW,467.62,12
S00018,02/29/2024,C3394,Pro,SE,3832.74,12
S00019,05/09/2024,C3106,Pro,SW,2492.16,12
S00020,06/03/2024,C4404,Basic,NW,480.05,12
S00021,01/07/2024,C2325,Pro,SE,2960.72,6
S00022,05/23/2024,C4493,Basic,NE,583.38,
S00023,02/20/2024,C2671,Basic,West,491.84,12
S00024,06/15/2024,C2342,Basic,East,300.2,12
S00025,06/28/2024,C3960,Pro,North,3959.71,6
S00026,05/19/2024,C1799,Pro,SW,3091.04,12
S00027,04/17/2024,C3365,Basic,NW,270.25,12
S00028,02/26/2024,C3535,Pro,West,4136.47,12
S00029,04/24/2024,C5442,Pro,East,4179.18,24
S00030,05/30/2024,C5494,Basic,West,392.11,6
S00031,03/12/2024,C1561,Pro,North,1865.59,
S00032,01/02/2024,C1624,Basic,NE,614.28,12
S00033,02/10/2024,C2274,Basic,SW,614.45,12
S00034,06/27/2024,C1994,Enterprise,SE,17409.95,12
S00035,04/18/2024,C1027,Enterprise,MidWest,12772.95,12
S00036,03/28/2024,C2962,Enterprise,SW,11040.91,12
S00037,03/12/2024,C1540,Basic,SE,560.0,12
S00038,02/09/2024,C3212,Basic,NW,435.91,24
S00039,02/25/2024,C2466,Pro,NE,2491.91,12
S00040,03/27/2024,C1928,Pro,SE,3627.08,24
S00041,01/27/2024,C4696,Basic,NE,598.25,12
S00042,01/24/2024,C3765,Pro,West,4200.68,12
S00043,04/07/2024,C1994,Basic,SW,318.05,6
S00044,01/25/2024,C5099,Enterprise,SW,12505.87,
S00045,04/01/2024,C5379,Basic,North,465.83,12
S00046,03/29/2024,C4811,Pro,SW,2985.56,12
S00047,06/03/2024,C5184,Basic,West,372.81,12
S00048,03/08/2024,C2000,Pro,North,3453.77,12
