EmployeeID,Age,Gender,JobLevel,Turnover
1,29,F,nan,Y
2,30,Female,Senior,N
3,28,male,Entry,Y
4,35,Other,Entry,N
5,49,Male,Entry,N
6,23,Other,Mid,N
7,29,Female,Mid,N
8,34,F,Mid,N
9,42,F,Mid,N
10,49,male,Senior,N
11,56,Female,Mid,N
12,44,Other,Entry,N
13,36,Female,Mid,N
14,23,Female,nan,N
15,33,F,Mid,N
16,57,Other,Mid,N
17,24,Male,Mid,N
18,26,F,Senior,N
19,24,Other,Mid,N
20,40,male,Entry,N
21,23,F,nan,N
22,58,male,Senior,N
23,38,F,Entry,N
24,35,Female,Mid,N
25,49,Other,Mid,Y
26,48,male,Entry,N
27,31,F,nan,N
28,24,male,Mid,Y
29,57,F,Senior,N
30,59,F,Entry,N
31,46,Male,Mid,Y
32,43,Male,Entry,N
33,51,Male,Mid,N
34,42,male,Mid,Y
35,51,Female,Mid,N
36,49,F,Entry,N
37,52,Other,Entry,N
38,47,Male,Entry,Y
39,43,male,Entry,N
40,42,male,Mid,N
41,22,male,Mid,N
42,58,Other,Mid,Y
43,34,Other,Mid,N
44,42,Male,Entry,N
45,30,Other,Entry,N
46,38,Male,Entry,N
47,42,Other,Senior,N
48,52,Other,Mid,N
49,43,Other,Entry,N
50,33,Male,Entry,N
51,27,F,Senior,N
52,37,Male,Mid,N
53,47,F,Mid,N
54,26,male,Mid,N
55,30,male,Entry,N
56,35,Male,nan,N
57,51,F,Mid,N
58,47,F,Entry,N
59,50,F,Senior,N
60,40,male,Mid,N
61,29,Male,Entry,N
62,44,Female,Mid,N
63,56,F,Entry,Y
64,52,F,Entry,N
65,56,Female,Mid,N
66,53,Male,Entry,Y
67,26,F,Senior,N
68,37,Male,nan,N
69,38,F,Entry,N
70,53,Other,Mid,N
71,59,F,Senior,Y
72,53,Other,Mid,N
73,41,Male,Mid,Y
74,23,F,Entry,N
75,41,male,Mid,N
76,39,male,Mid,N
77,22,Female,nan,N
78,50,male,Entry,N
79,50,Other,Senior,N
80,40,male,Entry,N
81,27,male,nan,Y
82,29,male,Mid,N
83,45,F,Mid,N
84,41,Female,Mid,Y
85,35,Male,Entry,N
86,26,Female,Entry,N
87,55,Other,Entry,N
88,37,F,Entry,N
89,28,F,Entry,N
90,37,male,Mid,N
91,28,male,Mid,Y
92,48,Other,Entry,N
93,35,F,Senior,N
94,35,Male,Mid,N
95,54,Female,nan,N
96,54,F,Mid,N
97,41,Male,Entry,N
98,57,Male,Mid,N
99,28,Female,Mid,N
100,53,Male,Entry,N
101,24,Other,Entry,N
102,50,Male,Entry,Y
103,45,Other,Entry,Y
104,43,Male,Mid,N
105,27,male,Mid,N
106,45,Male,Entry,N
107,44,Other,Mid,Y
108,59,Male,Mid,N
109,31,Male,Entry,N
110,37,Male,Entry,N
111,32,Other,Entry,N
112,53,Male,Entry,N
113,27,Female,Entry,Y
114,45,Female,Entry,Y
115,54,Other,Mid,Y
116,33,male,Mid,N
